Date,cms
5/15/00,32.85
5/16/00,28.88
5/17/00,23.08
5/18/00,19.06
5/19/00,16.00
5/20/00,13.90
5/21/00,12.26
5/22/00,10.85
5/23/00,9.80
5/24/00,8.95
5/25/00,8.30
5/26/00,7.65
5/27/00,7.45
5/28/00,7.90
5/29/00,7.02
5/30/00,6.82
5/31/00,6.63
6/1/00,5.92
6/2/00,5.47
6/3/00,5.04
6/4/00,4.73
6/5/00,4.5873216
6/6/00,4.5023712
6/7/00,4.672272
6/8/00,6.9942496
6/9/00,5.946528
6/10/00,5.4651424
6/11/00,5.0403904
6/12/00,6.9092992
6/13/00,10.194048
6/14/00,7.2491008
6/15/00,5.946528
6/16/00,5.1819744
6/17/00,4.7289056
6/18/00,4.4457376
6/19/00,4.1625696
6/20/00,3.7378176
6/21/00,3.5396
6/22/00,3.3696992
6/23/00,3.0582144
6/24/00,2.8883136
6/25/00,2.7467296
6/26/00,2.6051456
6/27/00,2.4635616
6/28/00,2.3502944
6/29/00,2.2370272
6/30/00,2.1520768
7/1/00,2.0954432
7/2/00,2.12376
7/3/00,2.0954432
7/4/00,2.0388096
7/5/00,2.2087104
7/6/00,2.1803936
7/7/00,2.0954432
7/8/00,1.9538592
7/9/00,1.8972256
7/10/00,1.7839584
7/11/00,1.7273248
7/12/00,1.6706912
7/13/00,1.6140576
7/14/00,1.5291072
7/15/00,1.4441568
7/16/00,1.41584
7/17/00,1.3875232
7/18/00,1.3592064
7/19/00,1.3592064
7/20/00,1.3025728
7/21/00,1.274256
7/22/00,1.274256
7/23/00,1.2176224
7/24/00,1.132672
7/25/00,1.132672
7/26/00,1.132672
7/27/00,1.1043552
7/28/00,1.0760384
7/29/00,1.0760384
7/30/00,1.0760384
7/31/00,1.0477216
8/1/00,1.0760384
8/2/00,1.0760384
8/3/00,1.0760384
8/4/00,1.1043552
8/5/00,1.132672
8/6/00,1.1043552
8/7/00,1.1609888
8/8/00,1.1609888
8/9/00,1.132672
8/10/00,1.132672
8/11/00,1.132672
8/12/00,1.0760384
8/13/00,0.991088
8/14/00,0.9627712
8/15/00,0.9344544
